ArcB,Arc-Boutement
Units can be mm or m or whatever. D and L should have the same unit,Units can be mm or m or whatever. D and L should have the same unit
Friction coefficient,Friction coefficient
Length of the bearing,Length of the bearing
Distance with the force,Distance with the force
Formula,Formula
Sliding if,Sliding if
Blocked,Blocked
Sliding,Sliding
Result,Result
Probably,Probably
